Iter = 115, 瞷︽秆cost = 112405.65, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 116, 瞷︽秆cost = 112402.95, ó进计 = 11, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 117, 瞷︽秆cost = 112394.87, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 118, 瞷︽秆cost = 112404.07, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 119, 瞷︽秆cost = 112388.34, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 120, 瞷︽秆cost = 112387.86, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 121, 瞷︽秆cost = 112334.22, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 122, 瞷︽秆cost = 112341.57, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 123, 瞷︽秆cost = 112341.57, ó进计 = 11, 繦诀家览Ω计 = 3, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 124, 瞷︽秆cost = 112332.74, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 125, 瞷︽秆cost = 112323.50, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 126, 瞷︽秆cost = 112321.16, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 127, 瞷︽秆cost = 112373.15, ó进计 = 11, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 128, 瞷︽秆cost = 112358.68, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 129, 瞷︽秆cost = 112385.47, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 130, 瞷︽秆cost = 112421.64, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 131, 瞷︽秆cost = 112397.77, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 132, 瞷︽秆cost = 112376.71, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 133, 瞷︽秆cost = 112372.64, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 134, 瞷︽秆cost = 112388.21, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 135, 瞷︽秆cost = 112398.40, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 136, 瞷︽秆cost = 112394.92, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 137, 瞷︽秆cost = 112348.37, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 138, 瞷︽秆cost = 112394.88, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 139, 瞷︽秆cost = 112425.38, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 140, 瞷︽秆cost = 112378.82, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 141, 瞷︽秆cost = 112378.18, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 142, 瞷︽秆cost = 112393.93, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 143, 瞷︽秆cost = 112407.94, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 144, 瞷︽秆cost = 112415.46, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 145, 瞷︽秆cost = 112413.64, ó进计 = 11, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 146, 瞷︽秆cost = 112381.81, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 147, 瞷︽秆cost = 112402.90, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 148, 瞷︽秆cost = 112399.76, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 149, 瞷︽秆cost = 112374.58, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 150, 瞷︽秆cost = 112363.73, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 151, 瞷︽秆cost = 112347.02, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 152, 瞷︽秆cost = 112351.97, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 153, 瞷︽秆cost = 112316.01, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 154, 瞷︽秆cost = 112292.36, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 155, 瞷︽秆cost = 112281.75, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 156, 瞷︽秆cost = 112276.80, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 157, 瞷︽秆cost = 112273.08, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 158, 瞷︽秆cost = 112348.07, ó进计 = 11, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 159, 瞷︽秆cost = 112439.76, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 160, 瞷︽秆cost = 112429.42, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 161, 瞷︽秆cost = 112430.17, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 162, 瞷︽秆cost = 112391.30, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 163, 瞷︽秆cost = 112407.71, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 164, 瞷︽秆cost = 112390.59, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 165, 瞷︽秆cost = 112394.46, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 166, 瞷︽秆cost = 112354.69, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 167, 瞷︽秆cost = 112337.68, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
